rule_eowv,rule_zi7a
1K+ bought in past month,$32.97 
50+ bought in past month,$149.00 
100+ bought in past month,$33.99 
100+ bought in past month,$32.96 
1K+ bought in past month,$52.99 
50+ bought in past month,$27.98 
100+ bought in past month,$239.95 
100+ bought in past month,$31.34 
1K+ bought in past month,$37.59 
100+ bought in past month,$17.98 
100+ bought in past month,$32.97 
50+ bought in past month,$149.00 
50+ bought in past month,$33.99 
50+ bought in past month,$32.96 
1K+ bought in past month,$52.99 
100+ bought in past month,$27.98 
100+ bought in past month,$239.95 
50+ bought in past month,$31.34 
50+ bought in past month,$37.59 
50+ bought in past month,$17.98 
100+ bought in past month,$13.97 
100+ bought in past month,$32.99 
50+ bought in past month,$27.98 
100+ bought in past month,$13.84 
100+ bought in past month,$13.16 
1K+ bought in past month,$10.87 
1K+ bought in past month,$16.99 
50+ bought in past month,$14.12 
50+ bought in past month,$13.98 
100+ bought in past month,$9.30 
100+ bought in past month,$14.43 
1K+ bought in past month,$24.98 
50+ bought in past month,$18.69 
50+ bought in past month,$12.88 
100+ bought in past month,$53.95 
100+ bought in past month,$69.36 
1K+ bought in past month,$13.97 
100+ bought in past month,$32.99 
50+ bought in past month,$27.98 
100+ bought in past month,$13.84 
50+ bought in past month,$13.16 
1K+ bought in past month,$10.87 
100+ bought in past month,$16.99 
100+ bought in past month,$14.12 
50+ bought in past month,$13.98 
1K+ bought in past month,$9.30 
1K+ bought in past month,$14.43 
50+ bought in past month,$24.98 
100+ bought in past month,$18.69 
50+ bought in past month,$12.88 
100+ bought in past month,$53.95 
50+ bought in past month,$69.36 
