rule_3epd,rule_gzmz
100+ bought in past month,$13.98 
50+ bought in past month,$7.99 
50+ bought in past month,$39.98 
100+ bought in past month,$16.99 
100+ bought in past month,$34.98 
100+ bought in past month,$48.95 
100+ bought in past month,$10.16 
50+ bought in past month,$17.59 
100+ bought in past month,$59.36 
100+ bought in past month,$17.46 
100+ bought in past month,$69.36 
100+ bought in past month,$39.98 
50+ bought in past month,$13.98 
50+ bought in past month,$11.98 
100+ bought in past month,$7.99 
100+ bought in past month,$15.96 
50+ bought in past month,$13.98 
100+ bought in past month,$7.99 
100+ bought in past month,$39.98 
50+ bought in past month,$16.99 
50+ bought in past month,$34.98 
100+ bought in past month,$48.95 
100+ bought in past month,$10.16 
100+ bought in past month,$17.59 
100+ bought in past month,$59.36 
50+ bought in past month,$17.46 
100+ bought in past month,$69.36 
50+ bought in past month,$39.98 
50+ bought in past month,$13.98 
100+ bought in past month,$11.98 
50+ bought in past month,$7.99 
100+ bought in past month,$15.96 
100+ bought in past month,$40.50 
100+ bought in past month,$39.69 
100+ bought in past month,$10.45 
100+ bought in past month,$10.55 
100+ bought in past month,$48.47 
50+ bought in past month,$39.97 
100+ bought in past month,$13.98 
100+ bought in past month,$12.39 
50+ bought in past month,$40.50 
50+ bought in past month,$39.69 
100+ bought in past month,$10.45 
100+ bought in past month,$10.55 
50+ bought in past month,$48.47 
50+ bought in past month,$39.97 
100+ bought in past month,$13.98 
100+ bought in past month,$12.39 
100+ bought in past month,$48.47 
50+ bought in past month,$14.89 
50+ bought in past month,$22.99 
100+ bought in past month,$11.55 
