Top songs by Ariana Grande:,Top songs by Post Malone:,Top songs by Daddy Yankee:
1. we can't be friends (wait for your love),1. Fortnight (feat. Post Malone),1. Gasolina
"2. yes, and?",2. Sunflower - Spider-Man: Into the Spider-Verse,2. La Santa
3. intro (end of the world),3. Circles,"3. Lo Que Pas¨®, Pas¨®"
4. the boy is mine,4. Dial Drunk (with Post Malone),4. Despacito
5. bye,5. LEVII'S JEANS,5. Ella Me Levanto
6. eternal sunshine,6. rockstar (feat. 21 Savage),6. Con Calma
7. Die For You (with Ariana Grande) - Remix,7. Chemical,7. Llamado de Emergencia
8. Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,8. Congratulations,8. Limbo
9. supernatural,9. Wow.,9. China
10. don't wanna break up again,10. I Like You (A Happier Song) (with Doja Cat),10. Soltera (Remix)
