author,updated_at,like_count,text,public
@DaddyYankee,2024-03-29T03:57:45Z,19010,"Como lo dije en mi último concierto de La Meta: la música, las redes sociales, predicas, conciertos u otros tipos de eventos de mis plataformas serán usadas para el servicio del Reino. 
Pedro,al conocer a Jesús, siguió con su mismo oficio de pescador, pero con otro propósito, se convirtió en pescador de hombres. Al igual que yo, continuo en la música pero con un nuevo propósito, llevar luz y el evangelio del Señor a todas las almas del mundo. Y en esta ocasión con el tema: 
“DONANTE DE SANGRE “🩸✝️🩸",True
@Eiden-qw7hd,2024-04-18T20:08:17Z,1,👌🏻,True
@N17CL,2024-04-18T19:26:01Z,1,"EL MEJOR DE TODOS LOS TIEMPOS.... Desde el 2004 apoyándote 🇨🇱 nunca voy a olvidar el año 2010 cuando gracias al esfuerzo de mi madre pude ir a tu concierto en Concepción, guardo como tesoro el disco Barrio Fino en Directo.... ¡¡¡DY!!!",True
@WelcherAebjicg,2024-04-18T19:20:01Z,1,😊,True
@ArguetaArgueta-uc8ut,2024-04-18T19:17:22Z,0,Tienes que quitar tu nombre daddyanque tiene que poner el nombre sullo,True
@Mishel.S2805,2024-04-18T19:16:01Z,0,Con su poder me da vida ❤,True
@xxmashaxx24,2024-04-18T18:36:20Z,1,Excelente Dios te bendiga me alegro porque ahora tu talento es para Dios el rey de reyes,True
@nicolasenrique5105,2024-04-18T18:23:53Z,1,"El cordero inmolado en la pascua resucita, promete el espíritu santo que nos revela el mensaje del mesías, el salvador, el nombre sobre todo nombre el señor Jesucristo, su espíritu santo revela el mensaje y da fortaleza con sus dones. Busquen del espíritu santo y tendrán la misma disposición de los santos 🕊️🔥",True
@Erika-111,2024-04-18T18:18:29Z,1,🙏🥰🙌🏽💜🎶🎙🙌🏽🥰🎶🙌🏽,True
@jahdielquinonespr93,2024-04-18T17:38:53Z,1,Dios te bendiga mucho Raymond sigue palante con Dios espero ver tu saludo y un corazón un abrazo Dios te bendiga 🙏😇😁,True
@Bel-ledes,2024-04-18T16:24:23Z,2,Este es un gran ejemplo ... De que Dios puede escojer a sus hijos ...Por Aunque nosotros no queramos ...El siempre termina alcanzando nos x que el tiene un plan para cada uno y el sabe que va a pasar con cada uno y cual sera nuestro final... ✝️💘,True
@AraujoDario,2024-04-18T15:48:27Z,2,Muy bien Daddy Yankee hay q acordarse de Dios es lo más importante q hay en todos lados y en cualquier momento Muy bien 👍,True
@bailandoconmariajose7883,2024-04-18T15:44:10Z,2,Excelente.  Nos alegra su conversión.  Pues la misericordia de Dios es para todos los que se arrepienten 🙏. Hay fiesta en el cielo .,True
@ingrikatherinesarriajamioy5752,2024-04-18T15:34:29Z,2,❤,True
@cryptojhon7763,2024-04-18T15:33:20Z,0,"Primero se hace billonario insitando al sexo ,armas y drogas !!! DESPUES SE PASA AL CRISTIANISMO JAJAJA",True
@gladiolaarcos2529,2024-04-18T15:23:11Z,0,Una sesión de bizarrap para daddy yankee,True
