author,updated_at,like_count,text,public
@efraimbohos9560,2024-04-18T14:24:47Z,0,something real Is amazing,True
@user-zj3vc3yk5g,2024-04-18T14:00:53Z,0,I some love performance to get together....,True
@elainehenry2300,2024-04-18T07:59:52Z,0,💔💔💔💔💔💔💔😢😇,True
@MonicaMolina-ls8lq,2024-04-18T04:43:04Z,0,I ❤yoou,True
@saragracebarnes6409,2024-04-17T16:30:20Z,0,"I can’t wait to see you in Charlotte!
Every single album has SOOOO much meaning to me❤❤❤❤",True
@taterspater470,2024-04-17T14:48:08Z,0,"🐱💬 Do you get a sense your soul's been dragged everywhere by this lifestyle you thought you wanted but its eating all thats good inside of you? 😢❤ Please protect that little bit of pure thats left, that is what will save you from all this cover. Would you show who YOU really are? Not the man who has fans, awards, tattoos and cigarettes, influence from your name. Because you get a sense money comes second with you.... You are after something that should not belong to any living creation, power. Let that go.... perhaps you will meet peace..
❤🙈💬 Sorry the cat should learn to shut up and mind her own business. She really likes your voice and songs (and she shouldn't).Sorry.",True
@daniellefter1986cheesedanger,2024-04-17T13:40:52Z,0,I live my life on overdrive as well ...... Someday we will chill oh yes we will chill.,True
@user-ks1os4xp3h,2024-04-17T12:21:15Z,1,O melhor 😊😅😮😢🎉😂❤ 2:21,True
@duanedodson1,2024-04-17T02:18:27Z,0,"Honestly, this kid is living a little faster than he should be, I speak from experience.",True
@loganjohnson5131,2024-04-16T14:19:08Z,1,People who don’t like post Malone are just pure evil,True
@rodia374,2024-04-16T01:42:10Z,0,2032 anyone?,True
@user-bx1ut2dm8e,2024-04-16T01:19:29Z,0,I love this song ❤your cool to me,True
@fu553l88,2024-04-15T19:04:24Z,0,🥰🥰🥰🥰🥰🥰🥰🥰,True
@Joel-ci2wf,2024-04-15T12:42:09Z,0,Big brother bear?,True
@Joel-ci2wf,2024-04-15T12:40:05Z,1,The curly haired boxer.,True
@ChandanBiswakarma-vc7xe,2024-04-15T08:48:06Z,0,Samm,True
@user-ks1os4xp3h,2024-04-14T15:44:09Z,1,Povo doido 😜 né não deixaram de dar lake,True
@tinaberry6466,2024-04-14T04:50:02Z,0,U R SO DAMN GREAT❤❤❤,True
@jamesnyambunde,2024-04-13T12:59:52Z,0,Speak life 🎉,True
@age_of_augotron_on_twitch,2024-04-13T03:26:20Z,1,"loved your performances in Road House , TMNT: Mutant Mayhem and Wrath Of Man.",True
@user-vd3cr6xn6w,2024-04-13T00:23:50Z,0,"Minha Alma, me emociona.Envolvente!❤ Jacqueline Sittimy.😊",True
@user-vd3cr6xn6w,2024-04-13T00:20:46Z,1,Acho  está música um encanto.Simplesmente linda.❤ Jacqueline Sittimy.,True
@jeanalsamman4698,2024-04-12T02:17:39Z,0,"Grandeur , tremendous of being impressive or awesome, Even better than what I expected . I’ve witnessed a startling dynamic changes in your perspective and your experience understanding of what’s passion in music . Post Malone marvelous skills,KEEP Going, Keep GROWING.❤❤❤❤❤❤

Keep going keep growing.

Realizing a moment becomes a memory.
All the good vibes

Everyday in mindfulness change your life by living in the present

Reba McEntire, Post Malone, Andra Day set to be pre-game performers at Super Bowl LVIII .
The NFL announced the pregame entertainment lineup for Super Bowl LVIII in Las Vegas, which will be played at Allegiant Stadium on Sunday, Feb. 11, 2024, and will air on CBS.  Post Malone, the eight-time diamond-certified, Grammy-nominated phenomenon, will sing ""America the Beautiful.",True
